Borough,Date,Event Type,Event Location,Level of Offense,Crime Description
Manhattan,11/21/2023,Sport - Adult,Chelsea Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD"
Manhattan,11/22/2023,Special Event,Bowling Green,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,11/23/2023,Special Event,Randall's Island Park,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Manhattan,11/23/2023,Special Event,Randall's Island Park,MISDEMEANOR,ASSAULT 3
Manhattan,11/25/2023,Sport - Youth,Highbridge Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,11/28/2023,Special Event,Damrosch Park,FELONY,"LARCENY,GRAND OF BICYCLE"
Manhattan,11/28/2023,Special Event,Damrosch Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Manhattan,11/29/2023,Special Event,Carl Schurz Park,FELONY,"CONTROLLED SUBSTANCE,SALE 3"
Manhattan,11/29/2023,Special Event,Carl Schurz Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Manhattan,11/30/2023,Sport - Youth,St Nicholas Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/01/2023,Special Event,Montefiore SquarePark,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE"
Manhattan,12/03/2023,Sport - Adult,Riverside Park,MISDEMEANOR,"LARCENY,PETIT BY DISHONEST EMP"
Manhattan,12/04/2023,Special Event,Corporal John A. Seravalli Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/08/2023,Special Event,Bennett Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Manhattan,12/08/2023,Special Event,Bennett Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,12/12/2023,Special Event,Bryant Park,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Manhattan,12/12/2023,Special Event,Bryant Park,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Manhattan,12/14/2023,Special Event,Bowling Green,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Manhattan,12/14/2023,Special Event,Bowling Green,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/14/2023,Special Event,Bowling Green,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Manhattan,12/15/2023,Special Event,St Catherine's Park,FELONY,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED"
Manhattan,12/16/2023,Special Event,Central Park,MISDEMEANOR,MATERIAL              OFFENSIV
Manhattan,12/18/2023,Special Event,City Hall Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Manhattan,12/23/2023,Special Event,Bowling Green,MISDEMEANOR,"MISCHIEF, CRIMINAL 4, OF MOTOR"
Manhattan,12/26/2023,Sport - Youth,James J Walker Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,12/26/2023,Sport - Youth,James J Walker Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Manhattan,12/27/2023,Special Event,Central Park,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE"
Manhattan,12/27/2023,Special Event,Central Park,MISDEMEANOR,LEAVING SCENE-ACCIDENT-PERSONA
Manhattan,12/28/2023,Special Event,Battery Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Manhattan,12/29/2023,Special Event,Dante Park,FELONY,"LARCENY,GRAND FROM STORE-SHOPL"
Manhattan,12/30/2023,Special Event,Damrosch Park,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Manhattan,12/30/2023,Special Event,Damrosch Park,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOS"
Manhattan,12/31/2023,Sport - Adult,St. Vartan Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,01/28/2023,Special Event,Kissena Corridor West,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Queens,02/15/2023,Sport - Youth,Flushing Meadows Corona Park,MISDEMEANOR,MATERIAL              OFFENSIV
Queens,05/01/2023,Sport - Adult,Chappetto Square,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,05/01/2023,Sport - Adult,Chappetto Square,FELONY,"LARCENY,GRAND BY EXTORTION"
Queens,05/21/2023,Sport - Adult,Bayside Fields,FELONY,(null)
Queens,06/01/2023,Special Event,Frank Principe Park / Maurice Park,FELONY,SEXUAL ABUSE
Queens,06/17/2023,Sport - Adult,Juniper Valley Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,06/17/2023,Sport - Adult,Juniper Valley Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,06/24/2023,Special Event,Haggerty Park,FELONY,"FORGERY,M.V. REGISTRATION"
Queens,07/23/2023,Special Event,Francis Lewis Park,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Queens,07/29/2023,Special Event,Astoria Park,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Queens,08/01/2023,Special Event,Flushing Meadows Corona Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Queens,08/02/2023,Special Event,Torsney Playground,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,08/10/2023,Sport - Adult,Alley Pond Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,08/11/2023,Special Event,Bayswater Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,09/01/2023,Special Event,Almeda Playground,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Queens,09/01/2023,Special Event,Almeda Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Queens,09/01/2023,Special Event,Almeda Playground,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Queens,09/07/2023,Special Event,Rockaway Beach and Boardwalk,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Queens,09/19/2023,Sport - Adult,Detective Keith L Williams Park,FELONY,"LARCENY,GRAND FROM STORE-SHOPL"
Queens,09/21/2023,Sport - Adult,Alley Athletic Playground,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Queens,09/25/2023,Sport - Adult,Flushing Meadows Corona Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,10/01/2023,Sport - Adult,Frank Principe Park / Maurice Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Queens,10/03/2023,Special Event,Little Bay Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD"
Queens,10/18/2023,Special Event,Hinton Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Queens,10/20/2023,Sport - Adult,Astoria Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Queens,10/25/2023,Special Event,Playground Twenty One,FELONY,"LARCENY, GRAND OF MOPED"
Queens,10/26/2023,Sport - Adult,Judge Moses Weinstein Playground / Vleigh Plgd.,FELONY,"FORGERY,M.V. REGISTRATION"
Queens,10/26/2023,Sport - Adult,Judge Moses Weinstein Playground / Vleigh Plgd.,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Queens,10/27/2023,Special Event,Forest Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,11/03/2023,Sport - Youth,Juniper Valley Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,11/07/2023,Sport - Youth,Astoria Park,MISDEMEANOR,ASSAULT 3
Queens,11/08/2023,Sport - Youth,Flushing Fields,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,11/13/2023,Sport - Adult,Dutch Kills Playground,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Queens,11/15/2023,Special Event,Travers Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD"
Queens,11/17/2023,Sport - Adult,Corona Golf Playground,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Queens,11/17/2023,Sport - Adult,Corona Golf Playground,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Queens,11/22/2023,Special Event,Travers Park,FELONY,"LARCENY,GRAND FROM STORE-SHOPL"
Queens,11/28/2023,Special Event,Athens Square,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,11/29/2023,Special Event,Playground Twenty One,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Queens,11/29/2023,Special Event,Playground Twenty One,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Queens,12/04/2023,Special Event,Playground Ninety,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Queens,12/06/2023,Special Event,Vernon Mall,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,12/09/2023,Sport - Adult,Murray Playground,FELONY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE"
Queens,12/10/2023,Sport - Adult,Montbellier Park,MISDEMEANOR,"LARCENY,PETIT BY CREDIT CARD U"
Queens,12/13/2023,Sport - Youth,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Queens,12/14/2023,Sport - Youth,College Point Fields,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Queens,12/14/2023,Sport - Youth,College Point Fields,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Queens,12/15/2023,Special Event,Playground Twenty One,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Queens,12/15/2023,Special Event,Playground Twenty One,FELONY,STRANGULATION 1ST
Queens,12/15/2023,Special Event,Playground Twenty One,MISDEMEANOR,ASSAULT 3
Queens,12/20/2023,Special Event,Vernon Mall,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Queens,12/20/2023,Special Event,Vernon Mall,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Queens,12/21/2023,Special Event,Evergreen Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Queens,12/22/2023,Special Event,Rockaway Beach and Boardwalk,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Queens,12/24/2023,Sport - Adult,Frank Principe Park / Maurice Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Queens,12/24/2023,Sport - Adult,Frank Principe Park / Maurice Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Queens,12/26/2023,Sport - Youth,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Queens,12/27/2023,Sport - Adult,Astoria Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Queens,12/27/2023,Sport - Adult,Astoria Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Queens,12/28/2023,Sport - Adult,Astoria Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Queens,12/28/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Queens,12/29/2023,Sport - Youth,Murray Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,12/31/2023,Special Event,Cunningham Park,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Staten Island,05/19/2023,Special Event,Clove Lakes Park,FELONY,RAPE 1
Staten Island,06/01/2023,Sport - Youth,Bloomingdale Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Staten Island,06/24/2023,Special Event,Dugan Playground,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Staten Island,08/31/2023,Sport - Adult,Blood Root Valley,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Staten Island,10/11/2023,Special Event,Naples Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Staten Island,10/22/2023,Special Event,Silver Lake Park,MISDEMEANOR,"DIS. CON.,AGGRAVATED"
Staten Island,11/08/2023,Special Event,Naples Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Staten Island,11/14/2023,Sport - Adult,Fairview Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Staten Island,12/03/2023,Special Event,Conference House Park,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Staten Island,12/15/2023,Sport - Youth,Blood Root Valley,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Staten Island,12/22/2023,Sport - Adult,Freshkills Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Staten Island,12/31/2023,Special Event,Conference House Park,FELONY,"LARCENY,GRAND OF AUTO"
Staten Island,12/31/2023,Special Event,Conference House Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Bronx,02/04/2023,Sport - Youth,Pelham Bay Park,MISDEMEANOR,"THEFT OF SERVICES, UNCLASSIFIE"
Bronx,02/10/2023,Special Event,St. James Park,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Bronx,03/12/2023,Sport - Adult,Macombs Dam Park,MISDEMEANOR,LEAVING SCENE-ACCIDENT-PERSONA
Bronx,06/01/2023,Sport - Adult,Bronx Park,FELONY,RAPE 1
Bronx,06/12/2023,Sport - Youth,Ambrosini Field,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,06/19/2023,Special Event,Joyce Kilmer Park,MISDEMEANOR,ASSAULT 3
Bronx,07/03/2023,Special Event,Haffen Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Bronx,07/16/2023,Sport - Youth,Dunbar Playground,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,07/29/2023,Special Event,Bronx Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Bronx,08/03/2023,Special Event,Crotona Park,MISDEMEANOR,"MENACING,UNCLASSIFIED"
Bronx,08/12/2023,Special Event,Pelham Bay Park and Orchard Beach,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Bronx,08/16/2023,Special Event,Clark Playground,FELONY,"LARCENY,GRAND OF MOTORCYCLE"
Bronx,08/21/2023,Sport - Youth,Castle Hill Little League,MISDEMEANOR,ASSAULT 3
Bronx,08/21/2023,Sport - Youth,Castle Hill Little League,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,09/01/2023,Special Event,St. Mary's Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,09/02/2023,Special Event,Claremont Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,09/08/2023,Sport - Youth,Ambrosini Field,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Bronx,09/19/2023,Sport - Youth,Colgate Close,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Bronx,09/22/2023,Sport - Adult,Parque De Los Ninos,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,10/12/2023,Special Event,St. Mary's Park,MISDEMEANOR,UNAUTH. SALE OF TRANS. SERVICE
Bronx,10/28/2023,Sport - Youth,Ambrosini Field,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Bronx,11/01/2023,Sport - Youth,Bicentennial Veterans Memorial Park,MISDEMEANOR,"SEXUAL MISCONDUCT,INTERCOURSE"
Bronx,11/02/2023,Special Event,Mount Eden Malls,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Bronx,11/02/2023,Special Event,Mount Eden Malls,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,11/07/2023,Sport - Youth,Castle Hill Little League,FELONY,"CONTROLLED SUBSTANCE,SALE 3"
Bronx,11/11/2023,Special Event,Bronx Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Bronx,11/12/2023,Special Event,Bicentennial Veterans Memorial Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,11/13/2023,Sport - Adult,St. Mary's Park,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Bronx,11/24/2023,Sport - Youth,Behagen Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Bronx,11/30/2023,Sport - Youth,Field Of Dreams Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,12/02/2023,Sport - Youth,Crotona Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,12/04/2023,Sport - Youth,Macombs Dam Park,FELONY,"LARCENY,GRAND OF BICYCLE"
Bronx,12/05/2023,Sport - Youth,Seton Park,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Bronx,12/11/2023,Special Event,Hunts PointPlayground,MISDEMEANOR,"IMPERSONATION 2, PUBLIC SERVAN"
Bronx,12/14/2023,Special Event,Ferry Point Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Bronx,12/15/2023,Sport - Youth,Marble Hill Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,12/18/2023,Sport - Adult,Van Cortlandt Park,FELONY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"
Bronx,12/19/2023,Special Event,Ferry Point Park,MISDEMEANOR,"CONTEMPT,CRIMINAL"
Bronx,12/20/2023,Sport - Youth,Field Of Dreams Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Bronx,12/22/2023,Special Event,Bell Tower Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Bronx,12/22/2023,Special Event,Bell Tower Park,FELONY,"LARCENY,GRAND OF AUTO"
Bronx,12/22/2023,Special Event,Bell Tower Park,MISDEMEANOR,"MENACING,UNCLASSIFIED"
Bronx,12/23/2023,Special Event,Bell Tower Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Bronx,12/24/2023,Sport - Youth,Soundview Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Bronx,12/24/2023,Sport - Youth,Soundview Park,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Bronx,12/26/2023,Special Event,Bell Tower Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Bronx,12/26/2023,Special Event,Bell Tower Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,12/27/2023,Special Event,Bell Tower Park,FELONY,CRIMINAL CONTEMPT 1
Bronx,12/27/2023,Special Event,Bell Tower Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Bronx,12/27/2023,Special Event,Bell Tower Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,12/28/2023,Sport - Youth,Patterson Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,12/28/2023,Sport - Youth,Patterson Playground,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Bronx,12/28/2023,Sport - Youth,Patterson Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,12/29/2023,Sport - Youth,Patterson Playground,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Bronx,12/30/2023,Sport - Youth,Crotona Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Bronx,12/31/2023,Sport - Adult,Van Cortlandt Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Brooklyn,02/02/2023,Sport - Youth,Calvert Vaux Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION"
Brooklyn,02/12/2023,Sport - Youth,Bushwick Inlet Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,02/16/2023,Special Event,Bill Brown Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,04/09/2023,Special Event,Prospect Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Brooklyn,04/14/2023,Special Event,Prospect Park,FELONY,"LARCENY,GRAND FROM PERSON,PICK"
Brooklyn,04/24/2023,Sport - Youth,Bath Beach Park,MISDEMEANOR,ASSAULT 3
Brooklyn,04/24/2023,Sport - Youth,Bath Beach Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Brooklyn,05/03/2023,Special Event,Brownsville Recreation Center Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,06/12/2023,Special Event,Owl's Head Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Brooklyn,06/14/2023,Special Event,Brownsville Recreation Center Playground,MISDEMEANOR,"MENACING,UNCLASSIFIED"
Brooklyn,06/20/2023,Sport - Adult,Commodore Barry Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,06/29/2023,Special Event,American Veterans Memorial Pier,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,07/04/2023,Special Event,Van Voorhees Playground,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,07/08/2023,Special Event,Commodore Barry Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,07/14/2023,Special Event,Leif Ericson Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Brooklyn,08/01/2023,Special Event,Brownsville Recreation Center Playground,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Brooklyn,09/08/2023,Special Event,Ocean Parkway Malls,MISDEMEANOR,MATERIAL              OFFENSIV
Brooklyn,09/14/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,BAIL JUMPING 1 & 2
Brooklyn,09/24/2023,Sport - Adult,McCarren Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,09/29/2023,Special Event,Hope Ballfields,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,10/01/2023,Special Event,Canarsie Park,MISDEMEANOR,OBSTR BREATH/CIRCUL
Brooklyn,10/12/2023,Sport - Adult,Ericsson Playground (JHS 126),FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,10/13/2023,Sport - Adult,McCarren Park,FELONY,"TAMPERING 1,CRIMINAL"
Brooklyn,10/15/2023,Special Event,Rodney Playground North,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Brooklyn,10/19/2023,Sport - Youth,Bushwick Inlet Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,10/27/2023,Special Event,Bush Terminal Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Brooklyn,11/01/2023,Special Event,Martin Luther King Jr. Playground,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Brooklyn,11/01/2023,Special Event,Martin Luther King Jr. Playground,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,11/03/2023,Special Event,Calvert Vaux Park,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Brooklyn,11/04/2023,Special Event,Osborn Playground (IS 275),FELONY,"LARCENY,GRAND OF AUTO"
Brooklyn,11/05/2023,Sport - Adult,Bill Brown Playground,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Brooklyn,11/09/2023,Sport - Adult,Ericsson Playground (JHS 126),MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,11/09/2023,Sport - Adult,Ericsson Playground (JHS 126),MISDEMEANOR,"SEXUAL ABUSE 3,2"
Brooklyn,11/10/2023,Sport - Adult,St. John's Park,MISDEMEANOR,"LARCENY,PETIT OF BICYCLE"
Brooklyn,11/11/2023,Sport - Adult,McLaughlin Park,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,11/11/2023,Sport - Adult,McLaughlin Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,11/14/2023,Special Event,Brownsville Recreation Center Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,11/16/2023,Special Event,Marine Park,MISDEMEANOR,"THEFT OF SERVICES, UNCLASSIFIE"
Brooklyn,11/18/2023,Special Event,Prospect Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Brooklyn,11/22/2023,Sport - Adult,McCarren Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Brooklyn,11/22/2023,Sport - Adult,McCarren Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Brooklyn,11/22/2023,Sport - Adult,McCarren Park,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Brooklyn,11/23/2023,Sport - Youth,Newtown Barge Playground,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,11/23/2023,Sport - Youth,Newtown Barge Playground,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,11/23/2023,Sport - Youth,Newtown Barge Playground,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,11/26/2023,Sport - Adult,McLaughlin Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,11/27/2023,Sport - Adult,Parade Ground,MISDEMEANOR,ASSAULT 3
Brooklyn,11/30/2023,Special Event,Taaffe Playground,FELONY,"BURGLARY,RESIDENCE,NIGHT"
Brooklyn,12/01/2023,Special Event,Taaffe Playground,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Brooklyn,12/01/2023,Special Event,Taaffe Playground,FELONY,RAPE 3
Brooklyn,12/04/2023,Special Event,Carroll Park,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Brooklyn,12/07/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Brooklyn,12/07/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
